code,name,description,refreshed_at,from_date,to_date
130430,HDFC Mutual Fund - HDFC FMP 371D June 2014 (3) - Direct Option - Dividend Option,ISIN Div Payout/ ISIN Growth: INF179KB1FK4,2017-12-27 20:01:50,2016-08-30,2017-08-08
130431,HDFC Mutual Fund - HDFC FMP 371D June 2014 (3) - Direct Option - Growth Option,ISIN Div Payout/ ISIN Growth: INF179KB1FJ6,2017-12-27 20:01:50,2016-08-30,2017-08-08
130432,HDFC Mutual Fund - HDFC FMP 371D June 2014 (3) - Direct Option - Flexi Option,ISIN Div Payout/ ISIN Growth: INF179KB1FI8,2017-12-27 20:01:50,2016-08-30,2017-08-08
130433,HDFC Mutual Fund - HDFC FMP 371D June 2014 (3) - Direct Option - Quarterly Dividend Option,ISIN Div Payout/ ISIN Growth: INF179KB1FL2,2017-12-27 20:01:50,2016-08-30,2017-08-08
130434,HDFC Mutual Fund - HDFC FMP 371D June 2014 (3) - Regular Option - Dividend Option,ISIN Div Payout/ ISIN Growth: INF179KB1FG2,2017-12-27 20:01:50,2016-08-30,2017-08-08
130435,HDFC Mutual Fund - HDFC FMP 371D June 2014 (3) - Regular Option - Flexi Option,ISIN Div Payout/ ISIN Growth: INF179KB1FM0,2017-12-27 20:01:50,2014-11-07,2014-11-07
130436,HDFC Mutual Fund - HDFC FMP 371D June 2014 (3) - Regular Option - Growth Option,ISIN Div Payout/ ISIN Growth: INF179KB1FN8,2017-12-27 20:01:50,2016-08-30,2017-08-08
130437,HDFC Mutual Fund - HDFC FMP 371D June 2014 (3) - Regular Option - Quarterly Dividend Option,ISIN Div Payout/ ISIN Growth: INF179KB1FH0,2017-12-27 20:01:50,2016-08-30,2017-08-08
130438,ICICI Prudential Mutual Fund - ICICI Prudential Multiple Yield Fund - Series 7 - 1825 Days Plan B Direct Plan Cumulative Option,ISIN Div Payout/ ISIN Growth: INF109KA1YN5,2017-12-27 20:01:59,2016-08-30,2017-12-14
130439,ICICI Prudential Mutual Fund - ICICI Prudential Multiple Yield Fund - Series 7 - 1825 Days Plan B Direct Plan Dividend Option,ISIN Div Payout/ ISIN Growth: INF109KA1YO3,2017-12-27 20:01:59,2016-08-30,2017-12-14
130440,ICICI Prudential Mutual Fund - ICICI Prudential Multiple Yield Fund - Series 7 - 1825 Days Plan B Cumulative Option,ISIN Div Payout/ ISIN Growth: INF109KA1YP0,2017-12-27 20:01:59,2016-08-30,2017-12-14
130441,ICICI Prudential Mutual Fund - ICICI Prudential Multiple Yield Fund - Series 7 - 1825 Days Plan B Dividend Option,ISIN Div Payout/ ISIN Growth: INF109KA1YQ8,2017-12-27 20:01:59,2016-08-30,2017-12-14
