Exchange,Stock,Stock_Name,Sector,Market_Cap,Weight_per
ASX,AS1,Angel Seafood,Consumer Staples,13182200,0.001
ASX,ASB,Austal Limited,Industrials,692750000,0.032
ASX,ASG,Autosports Group Limited,Consumer Discretionary,281400000,0.013
ASX,ASH,Ashley Services Group,Industrials,43192800,0.002
ASX,ASIA,Beta Asiatech Tigers ETF Units FP,,1224000,0
ASX,ASL,Ausdrill Limited,Materials,942076000,0.044
ASX,ASN,Anson Resources Limited,Materials,39054600,0.002
ASX,ASP,Aspermont Limited,Consumer Discretionary,20832900,0.001
ASX,AST,Ausnet Services Limited,Utilities,5873310000,0.275
ASX,ASW,Advanced Share Limited,Financials,29495100,0.001
ASX,ASX,ASX Limited,Financials,12324300000,0.577
ASX,ASY,Assemblebay Limited,,3391240,0
ASX,ATA,Atc Alloys Limited,Materials,3522290,0
ASX,ATC,Altech Chem Limited,Materials,83021200,0.004
ASX,ATL,Apollo Tourism,Consumer Discretionary,258884000,0.012
ASX,ATM,Aneka Tambang Chess Depositary Interests 1:5,Materials,1106120,0
ASX,ATP,Atlas Pearls Limited,Consumer Discretionary,8557440,0
ASX,ATR,Astron Corp Limited Chess Depositary Interests 1:1,Materials,24495400,0.001
ASX,ATS,Australis Oil & Gas,Energy,420556000,0.02
ASX,ATT,Ante Real Estate TST Units FP,Real Estate,2105740,0
ASX,ATU,Atrum Coal Limited,Materials,32345200,0.002
ASX,ATX,Amplia Therapeutics,Health Care,12307000,0.001
ASX,AU1,The Agency Group Aus,Real Estate,7674100,0
ASX,AU8,Aumake Int Limited,Consumer Discretionary,59697000,0.003
ASX,AUB,AUB Group Limited,Financials,850435000,0.04
ASX,AUC,Ausgold Limited,Materials,15114400,0.001
ASX,AUDS,Beta Strong AUD Trading Managed Units FP,,2624000,0
ASX,AUH,Austchina Holdings,Energy,7807700,0
ASX,AUI,Australian United in,Financials,1055450000,0.049
ASX,AUL,Austar Gold Limited,Materials,8500550,0
ASX,AUMF,Ishares Edge Au MF ETF Units FP,,11564100,0.001
ASX,AUP,Aurora Property Ordinary Units FP,,5140790,0
ASX,AUQ,Alara Resources Limited,Materials,16354500,0.001
ASX,AUR,Auris Minerals Limited,Materials,20025400,0.001
ASX,AUST,Beta Managed Risk Au Trading Managed Fund Units FP,,21587300,0.001
ASX,AUZ,Australian Mines Limited,Materials,114052000,0.005
ASX,AVA,AVA Risk Group Limited,Information Technology,46440800,0.002
ASX,AVC,Auctus Alt INV Limited,Financials,8723220,0
ASX,AVD,Antilles Oil and Gas,Energy,3914980,0
ASX,AVG,Aust Vintage Limited,Consumer Staples,168092000,0.008
ASX,AVH,Avita Medical Limited,Health Care,140582000,0.007
ASX,AVJ,Avjennings Limited,Real Estate,260652000,0.012
ASX,AVL,Aust Vanadium Limited,Materials,84532500,0.004
ASX,AVNDA,Aventus Group Stapled Securities Deferred Settlement,,1058170000,0.05
ASX,AVQ,Axiom Mining Limited Chess Depositary Interests 1:1,Materials,48224300,0.002
ASX,AVW,Avira Resources Limited,Materials,3000000,0
ASX,AVZ,AVZ Minerals Limited,Materials,179404000,0.008
ASX,AWC,Alumina Limited,Materials,7977170000,0.374
ASX,AWN,Arowana Internat Limited,Industrials,37961000,0.002
ASX,AWV,Anova Metals Limited,Materials,10695200,0.001
ASX,AWY,Aust Whisky Holdings,Consumer Staples,57586100,0.003
ASX,AX1,Accent Group Limited,Consumer Discretionary,882223000,0.041
ASX,AX8,Accelerate Resources,,3251050,0
ASX,AXE,Archer Exploration,Materials,20713200,0.001
ASX,AXI,Axiom Properties,Real Estate,19522500,0.001
ASX,AXL,Axsesstoday Limited,Financials,105949000,0.005
ASX,AXP,Airxpanders Inc Cdi Forus,Health Care,197078000,0.009
ASX,AXT,Argo Exploration,Materials,3476430,0
